brand,model,prices,year,fuel,kms
renault,clio.iv ste dci90 air medianav 5p,4400,2017,Diesel,63944
peugeot,308 ste 1.6 hdi90 pack cd clim confort 5p,1700,2014,Diesel,127935
peugeot,boxer 333 l1h2 hdi110 premium,9400,2018,Diesel,103982
peugeot,308 ste 1.6 hdi100 premium 5p,5400,2018,Diesel,109115
peugeot,boxer 335 l3h2 hdi130,13400,2017,Diesel,74190
peugeot,partner long 1.6 hdi100 premium,8800,2018,Diesel,116071
volkswagen,crafter 35 l2h2 tdi136,5400,2013,Diesel,103256
peugeot,308 ste 1.6 hdi120 feline ba 5p,8900,2016,Diesel,38637
peugeot,208 ste 1.6 hdi75 active business 5p,5300,2017,Diesel,109933
peugeot,boxer 333 l1h1 hdi110 premium,8400,2017,Diesel,121782
renault,kangoo dci90 grand confort,3900,2016,Diesel,140709
ford,transit 300ls tdci125,4400,2013,Diesel,144784
peugeot,partner std 1.6 hdi100 premium,7900,2016,Diesel,90589
fiat,panda ste 1.3 jtd75 easy,1900,2013,Essence,116396
renault,clio.iv ste dci75 air 5p,3400,2016,Diesel,85830
peugeot,308 ste 1.6 hdi100 premium 5p,4400,2017,Diesel,135600
citroen,c3 ste 1.6 hdi100 confort 5p,3300,2016,Diesel,119416
peugeot,308.sw ste 1.6 hdi100 active business,6700,2016,Diesel,120891
citroen,c3 ste 1.6 hdi100 feel 5p,4500,2017,Diesel,70359
peugeot,boxer 330 l1h1 hdi100 cd clim,5400,2011,Diesel,191771
nissan,athleon 56.13 frigo,5200,2005,Diesel,198477
nissan,nv200 1.5 dci90 optima,4700,2017,Diesel,187245
peugeot,2008 ste 1.6 hdi100 style,4100,2015,Diesel,215274
fiat,ducato 3.0 mh2 jtd115 pack,3600,2013,Diesel,180314
renault,kangoo dci90 grand confort,1700,2013,Diesel,218661
opel,movano f3300 l2h2 cdti100,2100,2012,Diesel,206955
ford,transit 350mj td115 benne,2900,2005,Diesel,180281
renault,megane.iii ste dci95 air 5p,1900,2014,Diesel,187302
opel,vivaro f2900 c1 cdti90,900,2011,Diesel,236011
mercedes,sprinter 316 cdi messagerie ba,3900,2015,Diesel,289176
renault,trafic l1h1 dci115 grand confort,2400,2012,Diesel,205261
fiat,ducato 3.0 mh2 jtd100 pack cd clim,3400,2010,Diesel,162194
peugeot,308 ste 1.6 hdi100 premium pack 5p,3300,2018,Diesel,181920
volkswagen,transporter l2h1 tdi180 ba,11900,2015,Diesel,177443
citroen,c5 1.6 hdi112 business,4800,2015,Diesel,123243
volkswagen,polo 1.2 united 5p,1400,2008,Essence,160585
dacia,sandero 1.5 dci85 blackline,1800,2010,Diesel,124833
citroen,c4 1.6 hdi92 pack ambiance 5p,1450,2006,Diesel,289050
renault,clio.iv ste dci90 air medianav 5p,3500,2016,Diesel,86832
opel,zafira 2.0 dti100 ,400,2004,Diesel,354981
peugeot,boxer l4 hdi130 demenagement,4400,2016,Diesel,238530
opel,mokka 1.6 cdti136 cosmo,6400,2015,Diesel,155859
citroen,c4 picasso 1.6 hdi110 attraction,3200,2013,Diesel,152203
nissan,nv300 l1h1 dci120 optima,4400,2017,Diesel,58645
mercedes,sprinter 313 37s 3t2,1900,2010,Diesel,312931
opel,corsa ste cdti75 pack clim 3p,500,2010,Diesel,275105
nissan,qashqai 1.6 dci130 connect edition,4900,2012,Diesel,174763
