id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere
2020-84216,2020-06-16,1,Vente terrain à bâtir,166000.0
2020-84066,2020-06-11,1,Vente terrain à bâtir,182000.0
2020-83719,2020-05-20,1,Vente,332950.0
2020-83780,2020-05-19,1,Vente terrain à bâtir,165000.0
2020-83381,2020-05-14,2,Vente,166250.0
2020-83381,2020-05-14,2,Vente,166250.0
2020-83381,2020-05-14,2,Vente,166250.0
2020-83381,2020-05-14,2,Vente,166250.0
2020-83391,2020-05-14,1,Vente,4020.0
2020-83391,2020-05-14,1,Vente,4020.0
2020-82959,2020-04-03,1,Vente,425900.0
2019-383827,2019-12-23,1,Vente,169000.0
2019-383763,2019-12-19,1,Vente terrain à bâtir,160000.0
2019-383761,2019-12-19,1,Vente terrain à bâtir,168000.0
2019-383732,2019-12-19,1,Vente terrain à bâtir,165000.0
2019-383715,2019-12-18,1,Vente terrain à bâtir,160000.0
2019-383949,2019-12-17,1,Vente terrain à bâtir,169000.0
2019-383656,2019-12-06,1,Vente,349800.0
2019-382059,2019-10-29,1,Vente,390000.0
2019-381974,2019-10-28,1,Vente terrain à bâtir,1120.0
2019-381803,2019-10-04,1,Vente,358850.0
2019-381041,2019-09-05,1,Vente,345000.0
2019-380291,2019-08-14,1,Vente,369000.0
2019-380135,2019-08-08,1,Vente terrain à bâtir,178000.0
2019-380073,2019-08-07,1,Vente,372060.0
2019-380047,2019-08-05,1,Vente,328600.0
2019-379094,2019-06-24,1,Vente,570950.0
2019-377699,2019-05-28,1,Vente terrain à bâtir,179000.0
2019-376961,2019-05-07,1,Vente,200000.0
2019-375815,2019-03-20,1,Vente terrain à bâtir,179000.0
2018-418565,2018-07-27,1,Vente,379000.0
2018-415719,2018-04-13,1,Vente,445000.0
2018-415246,2018-03-14,1,Vente,126500.0
2018-414872,2018-02-22,1,Vente,353000.0
2017-423375,2017-10-16,1,Vente,284200.0
2017-422543,2017-09-28,1,Vente,282000.0
2017-414890,2017-02-03,1,Vente,287000.0
2016-373374,2016-08-25,1,Vente,286950.0
2016-373374,2016-08-25,1,Vente,286950.0
2016-372311,2016-07-12,1,Vente,350000.0
2016-372311,2016-07-12,1,Vente,350000.0
2016-372597,2016-07-08,1,Vente,314000.0
2016-370730,2016-05-27,1,Vente,325000.0
2015-350193,2015-12-01,1,Vente,273000.0
2015-350744,2015-11-30,2,Vente,1.0
2015-350744,2015-11-30,2,Vente,1.0
2015-350744,2015-11-30,2,Vente,1.0
2015-349902,2015-11-23,1,Vente,323900.0
2015-348028,2015-09-09,1,Vente,244950.0
2015-344836,2015-04-03,1,Vente,285000.0
2015-344836,2015-04-03,1,Vente,285000.0
2015-344836,2015-04-03,1,Vente,285000.0
2015-344836,2015-04-03,1,Vente,285000.0
2014-323244,2014-12-29,1,Vente,390000.0
2014-321230,2014-09-12,1,Vente,193050.0
2014-316976,2014-02-05,1,Vente,189943.38
2014-316722,2014-01-23,1,Vente,191862.0
