id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2020-84216";"2020-06-16";"1";"Vente terrain à bâtir";"166000.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0125";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"629.0";"None";"None";"000BI"
"2020-84066";"2020-06-11";"1";"Vente terrain à bâtir";"182000.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0115";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"860.0";"None";"None";"000BI"
"2020-83719";"2020-05-20";"1";"Vente";"332950.0";"10.0";"None";"RUE JEAN ROLLAND PILLET";"0722";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0141";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"90.0";"4.0";"S";"sols";"None";"None";"612.0";"None";"None";"000BI"
"2020-83780";"2020-05-19";"1";"Vente terrain à bâtir";"165000.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0120";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"605.0";"None";"None";"000BI"
"2020-83381";"2020-05-14";"2";"Vente";"166250.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0162";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"35.0";"None";"None";"000BI"
"2020-83381";"2020-05-14";"2";"Vente";"166250.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0195";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"36.0";"None";"None";"000BI"
"2020-83381";"2020-05-14";"2";"Vente";"166250.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0197";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"8.0";"None";"None";"000BI"
"2020-83381";"2020-05-14";"2";"Vente";"166250.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0199";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"16546.0";"None";"None";"000BI"
"2020-83391";"2020-05-14";"1";"Vente";"4020.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0196";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"342.0";"None";"None";"000BI"
"2020-83391";"2020-05-14";"1";"Vente";"4020.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0200";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"60.0";"None";"None";"000BI"
"2020-82959";"2020-04-03";"1";"Vente";"425900.0";"1.0";"None";"RUE JEAN ROLLAND PILLET";"0722";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0158";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"116.0";"4.0";"S";"sols";"None";"None";"650.0";"None";"None";"000BI"
"2019-383827";"2019-12-23";"1";"Vente";"169000.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0128";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"625.0";"None";"None";"000BI"
"2019-383763";"2019-12-19";"1";"Vente terrain à bâtir";"160000.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0118";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"615.0";"None";"None";"000BI"
"2019-383761";"2019-12-19";"1";"Vente terrain à bâtir";"168000.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0121";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"605.0";"None";"None";"000BI"
"2019-383732";"2019-12-19";"1";"Vente terrain à bâtir";"165000.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0123";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"625.0";"None";"None";"000BI"
"2019-383715";"2019-12-18";"1";"Vente terrain à bâtir";"160000.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0117";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"616.0";"None";"None";"000BI"
